,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
14114,1.0,0.0,0.0,0.0,0.0,0.0,-0.16697524044313516,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54769,0.0,0.0,0.0,0.0,0.0,1.0,0.24524306786128874,0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54922,1.0,1.0,0.0,0.0,0.0,0.0,-0.354067512833105,0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60407,0.0,0.0,0.0,0.0,0.0,1.0,-0.25277619016244185,-1.5909493026039558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42606,1.0,1.0,0.0,0.0,0.0,0.0,-0.16483091640428166,1.3351001508828213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47298,1.0,1.0,0.0,1.0,0.0,0.0,0.6794966738942928,-1.9909388214919264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72488,1.0,1.0,0.0,1.0,0.0,0.0,-0.8735300112453708,-1.0954667904679558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37463,1.0,0.0,0.0,0.0,0.0,0.0,-0.2157586123270528,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7953,1.0,1.0,0.0,1.0,0.0,0.0,0.02976649012167551,0.18377896813771627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62035,1.0,1.0,0.0,0.0,0.0,0.0,-0.15893402529743447,-1.863014245631359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28408,0.0,0.0,0.0,0.0,0.0,1.0,0.2500677969487092,0.7116930628862542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38974,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.18377896813771627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20714,1.0,1.0,0.0,0.0,0.0,0.0,-0.13695470389918585,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70712,1.0,1.0,0.0,0.0,0.0,0.0,-0.14499591904488657,0.05585439227714905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19577,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.05585439227714905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17639,1.0,1.0,0.0,0.0,0.0,0.0,-0.1632226733751415,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17870,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.3279193353045526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27812,1.0,0.0,0.0,0.0,0.0,0.0,-2.1628048396060513,1.3351001508828213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61978,1.0,1.0,0.0,0.0,0.0,0.0,-0.17555253659854925,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60423,1.0,1.0,1.0,0.0,0.0,0.0,1.7345041010102256,-0.3279193353045526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4596,1.0,1.0,1.0,0.0,0.0,0.0,1.6937619442720087,0.05585439227714905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4615,1.0,1.0,0.0,0.0,0.0,0.0,0.22650822068648618,1.2071755750222541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28477,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32220,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6581,1.0,1.0,0.0,1.0,0.0,0.0,-1.5704353238727657,-1.7350896697707918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29355,0.0,1.0,0.0,0.0,0.0,1.0,1.0155914788194167,1.0954667904679558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24550,1.0,0.0,0.0,0.0,0.0,0.0,-0.5486649193590621,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25412,1.0,0.0,0.0,0.0,0.0,0.0,0.17986917284142206,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55389,1.0,1.0,0.0,0.0,0.0,0.0,-0.2591811741138366,-1.6071650939102247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17308,0.0,0.0,0.0,0.0,0.0,1.0,-0.010467573771993807,-0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57895,1.0,1.0,0.0,0.0,0.0,0.0,-0.17930510366654293,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8412,0.0,0.0,0.0,1.0,0.0,1.0,-0.031374733150815654,0.5837684870256871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
